label,n_days,ann_return,ann_vol,sharpe,sortino,max_drawdown,hit_rate,avg_daily_turnover,ann_turnover,leg,horizon,ic_mean,ic_ir,ic_tstat
reversion-net-full,2515,-0.03994451948342337,0.06870540271095156,-0.5589866453561384,-0.7884142152367626,-0.34903201773150505,0.471130713712911,0.34337373129193466,86.53018028556754,reversion,full,0.003417263642474517,0.015961559113262594,0.7969598633119218
reversion-net-IS,1511,-0.009875149645267589,0.0671873736616629,-0.1142534619541072,-0.1646256830596617,-0.20354954879508258,0.47114093959731546,0.3446051202317224,86.84049029839404,reversion,is,0.003417263642474517,0.015961559113262594,0.7969598633119218
reversion-net-OS,1004,-0.08348582646912095,0.07086298860916591,-1.1945862851660782,-1.6710935235865148,-0.30036354023922474,0.4711155378486056,0.34152051546721435,86.06316989773802,reversion,os,0.003417263642474517,0.015961559113262594,0.7969598633119218
momentum-net-full,2515,0.0011306497835148477,0.07747642728056897,0.05339703522020346,0.06672952375978188,-0.19758394470015805,0.5204900718208703,0.06270806058835592,15.802431268265691,momentum,full,0.013362421071220038,0.05273855863895926,2.5652850274905434
momentum-net-IS,1511,0.021503287494106793,0.07810894752341815,0.31153752371236326,0.36340910589226133,-0.1290784841943493,0.532648569332355,0.05963895813961802,15.02901745118374,momentum,is,0.013362421071220038,0.05273855863895926,2.5652850274905434
momentum-net-OS,1004,-0.028766463291890587,0.07651350817909452,-0.3431924104151336,-0.4769532182203105,-0.17259881087122475,0.5039840637450199,0.06732699863620747,16.966403656324285,momentum,os,0.013362421071220038,0.05273855863895926,2.5652850274905434
combined-net-full,2515,-0.005150786282749564,0.0719199046639856,-0.03579525268278923,-0.04587856475323401,-0.22647237061746084,0.5179552175749894,0.14558077124039934,36.686354352580636,combined,full,0.012925370415119337,0.05516255171475422,2.6831917982585254
combined-net-IS,1511,0.024401957202749625,0.07190828044727716,0.37129256908125713,0.44609464128946447,-0.10800579107737884,0.5319148936170213,0.14104201690220722,35.54258825935622,combined,is,0.012925370415119337,0.05516255171475422,2.6831917982585254
combined-net-OS,1004,-0.0480278553607103,0.07188403245129824,-0.6486875521624058,-0.9149246891023292,-0.197280776877633,0.499003984063745,0.1524115061059455,38.40769953869827,combined,os,0.012925370415119337,0.05516255171475422,2.6831917982585254
