reversion_lookback,momentum_lookback,combo_weight_reversion,sharpe_IS,sharpe_OS,ann_turnover
3,63,0.3,0.39225044511846513,-0.48923482069344437,35.78624300606468
3,63,0.5,0.24926794494466814,-0.9070208647404355,60.85894677493224
3,63,0.7,0.032705893119960784,-1.356009222352249,86.6843369216544
3,126,0.3,0.34056807271497946,-0.590642994482589,31.911863079703473
3,126,0.5,0.24259241672586906,-0.9661857159165478,57.97268432554398
3,126,0.7,0.07308660095586408,-1.3351926812307735,84.4181838274095
3,252,0.3,0.2100708618677723,-0.26839942015110824,28.915189419020237
3,252,0.5,0.10441273734218397,-0.70882781646186,54.52285120806778
3,252,0.7,-0.02072670291714618,-1.1726080713203297,79.98830180990149
5,63,0.3,0.4288875182754313,-0.466589977993655,35.26038219930718
5,63,0.5,0.3323869778653097,-0.8480057479368306,57.34233418999864
5,63,0.7,0.1384278471494634,-1.1575149297751646,76.5355605895107
5,126,0.3,0.37848417261877704,-0.5788468853001106,31.478047877453374
5,126,0.5,0.3189412560565416,-0.9130477734423966,54.62962452961011
5,126,0.7,0.18449978359635844,-1.1758990009591668,74.44135943777633
5,252,0.3,0.2503966897021464,-0.2519788403662518,28.521347985171786
5,252,0.5,0.2045090365147967,-0.6530174545644986,51.37449556084394
5,252,0.7,0.12921838746855277,-1.018532215298654,70.49858306541354
10,63,0.3,0.4043085249868067,-0.4011249395849996,28.632514399651612
10,63,0.5,0.2790315026549762,-0.6479709019707528,40.666169719122294
10,63,0.7,0.034412542742573854,-0.8241989553443686,50.15161091542139
10,126,0.3,0.32927427630826145,-0.5132759488957994,24.688461986549648
10,126,0.5,0.27327506351254327,-0.7351642146471389,38.26738388853517
10,126,0.7,0.1015145295555948,-0.8615607893970022,48.65594926085046
10,252,0.3,0.24444338672399277,-0.15997042191056657,21.749635683155066
10,252,0.5,0.2271083356032464,-0.43340425289498985,35.6352602555952
10,252,0.7,0.0891374832534873,-0.6745859263995566,45.94407312714861
